Genre         Category            Question            Answer
Science         Systems         This is the resistance to turn         torque
Science         Systems         These are toothed wheels         gears
Science         Systems         This is made up of physical parts working together         physical system
Science         Systems         This is the unintended or undesired outputs of a system         side effect
Science         Systems         This is a set of procedures, methods or rules that are designed to accomplish a desired task         social system
Science         Parts of a Cell         These store waste         [vacuole, vacuoles]
Science         Parts of a Cell         This protects the cell from external dangers         cell membrane
Science         Parts of a Cell         These produce protein         ribosomes
Science         Parts of a Cell         This is where the DNA of the cell is stored         nucleus
Science         Parts of a Cell         This is the powerhouse of the cell         mitochondria
Science         Oceanography         The ocean is blue because water absorbs this colour light         red
Science         Oceanography         One of the five large bodies of water separating the continents is called an         ocean
Science         Oceanography         The study of the sea         oceanography
Science         Oceanography         The earth's magnetic field is believed to be generated in the...         outer core
Science         Oceanography         Approximately __% of the surface area of the earth is below sea level         [70, seventy]
Science         Grade 8 Science         This is the unit for work         Joule
Science         Grade 8 Science         This is a group of parts that work together to perform a desired task         system         
Science         Grade 8 Science         This is the attraction of a water molecule to another water molecule         cohesion
Science         Grade 8 Science         These long, narrow, and closely packed together cells are found in the cross-section of a leaf         palisade mesophyll           
Science         Grade 8 Science         The measure of a fluid’s resistance to flow         viscosity    
Science         Ecology         the set of all of the ecosystems on the planet         biosphere
Science         Ecology         a system composed of interacting biotic and abiotic factors         ecosystem
Science         Ecology         a non-living thing is known as an _______ factor         abiotic
Science         Ecology         a living thing is known a ____ factor         biotic
Science         Ecology         a set of living organisms that is able to cross-breed among themselves to generate fertile offspring is called a         species
Science         Computer Science         The grade 12 computer science course         ics4u
Science         Computer Science         She is known as the first computer scientist         [ada lovelace, lovelace]
Science         Computer Science         The first coding language         fortran
Science         Computer Science         This coding language was named after a mathematics genius         turing
Science         Computer Science         This coding language is also the name of a large snake         python
Science         Aerodynamics         According to Oxford dictionary, this is the study of the properties of moving air         aerodynamics
Science         Aerodynamics         The force that holds aircrafts back         drag
Science         Aerodynamics         The force that moves an aircraft forward         thrust
Science         Aerodynamics         The downward force on an aircraft         gravity
Science         Aerodynamics         The upward force on an aircraft         lift
Science         Science Sense           These types of animals only eat plants          herbivores
Science         Science Sense           This would be caused if the Earth's crust moved suddenly along a fault          earthquake
Science         Science Sense           The coloured part of a human eye is called this         iris
Science         Science Sense           Earth's path around the sun is called this          orbit
Science         Science Sense           This scientific instrument makes small things look larger           microscope
Science         Science Sense         These types of animals only eat meat         carnivores
Science         Science Sense         This scientific instrument makes small things look larger         microscope
Science         Science Sense         Earth's path around the sun is called this         orbit
