Genre         Category         Question         Answer
Science         Science Sense         id         123
Science         Science Sense         These types of animals only eat meat         carnivores
Science         Science Sense           This scientific instrument makes small things look larger           microscope
Science         Science Sense           Earth's path around the sun is called this          orbit
Science         Science Sense           The coloured part of a human eye is called this         iris
Science         Science Sense           This would be caused if the Earth's crust moved suddenly along a fault          earthquake
Science         Science Sense           These types of animals only eat plants          herbivores
Science         Plants         Carnivorous plants take this chemical from the dead bodies of insects and animals         nitrogen
Science         Plants         The xylem of a plant transports this         water        
Science         Plants         The phloem of a plant transports this         sugar
Science         Plants         Plants produce energy through this process         photosynthesis
Science         Plants         This pigment is responsible for the green colour of plants         chlorophyll
Science         Biology         The largest artery in the human body         aorta
Science         Biology         DNA is the abbreviation of this         deoxyribonucleic acid
Science         Biology         The powerhouse of the cell         mitochondria
Science         Biology         The human body is composed of about 50-65% this         water
Science         Biology         Plant cells have this protective barrier that animal cells do not         cell wall
Science         Biology         These fruits spread their seeds by getting animals to eat them and poop them out whole, thus travelling as they digest         [avocado, avocados]
Science         Physics         The speed of a wave is dependent on this         [material, the material]
Science         Physics         His first law states that energy cannot be created or destroyed in a closed system         [Newton, Sir Isaac Newton, Isaac Newton]
Science         Physics         The type of current generated by a battery         [direct, direct current]
Science         Physics         Energy is measured in this unit         joules
Science         Physics         This physicist is regarded as the smartest person to have ever lived         [Albert Einstein, Einstein]
Science         Space         The universe is believed to have originated during this         [big bang, the big bang]
Science         Space         Pluto is classified as this         [dwarf planet, a dwarf planet]
Science         Space         The milky way is classified as a...         [barred spiral galaxy, spiral galaxy]
Science         Space         This is the largest planet in our solar system         jupiter
Science         Space         This international treaty decrees that extra-terrestrail territory cannot be owned         [OST, outer space treaty, the outer space treaty]
Science         Chemistry         An acid-base reaction undergoes this chemical process         neutralization
Science         Chemistry         This useful number allows scientists to find the amount of something         [avogadros number, avogadro's number, avogadros, avogadro's]
Science         Chemistry         This extremely heavy element is used in nuclear reactions         uranium
Science         Chemistry         This is the smallest element         hydrogen
Science         Chemistry         Ionic compounds do this in water         dissociate
Science         Aerodynamics         The upward force on an aircraft         lift
Science         Aerodynamics         The downward force on an aircraft         gravity
Science         Aerodynamics         The force that moves an aircraft forward         thrust
Science         Aerodynamics         The force that holds aircrafts back         drag
Science         Aerodynamics         According to Oxford dictionary, this is the study of the properties of moving air         aerodynamics
Science         Computer Science         This coding language is also the name of a large snake         python
Science         Computer Science         This coding language was named after a mathematics genius         turing
Science         Computer Science         The first coding language         fortran
Science         Computer Science         She is known as the first computer scientist         [ada lovelace, lovelace]
Science         Computer Science         The grade 12 computer science course         ics4u
Science         Ecology         a set of living organisms that is able to cross-breed among themselves to generate fertile offspring is called a         species
Science         Ecology         a living thing is known a ____ factor         biotic
Science         Ecology         a non-living thing is known as an _______ factor         abiotic
Science         Ecology         a system composed of interacting biotic and abiotic factors         ecosystem
Science         Ecology         the set of all of the ecosystems on the planet         biosphere
Science         Grade 8 Science         The measure of a fluid’s resistance to flow         viscosity    
Science         Grade 8 Science         These long, narrow, and closely packed together cells are found in the cross-section of a leaf         palisade mesophyll           
Science         Grade 8 Science         This is the attraction of a water molecule to another water molecule         cohesion
Science         Grade 8 Science         This is a group of parts that work together to perform a desired task         system         
Science         Grade 8 Science         This is the unit for work         Joule
Science         Oceanography         Approximately __% of the surface area of the earth is below sea level         [70, seventy]
Science         Oceanography         The earth's magnetic field is believed to be generated in the...          outer core
Science         Oceanography         The study of the sea         oceanography
Science         Oceanography         One of the five large bodies of water separating the continents is called an         ocean
Science         Oceanography         The ocean is blue because water absorbs this colour light         red
Science         Parts of a Cell         This is the powerhouse of the cell         mitochondria
Science         Parts of a Cell         This is where the DNA of the cell is stored         nucleus
Science         Parts of a Cell         These produce protein         ribosomes
Science         Parts of a Cell         This protects the cell from external dangers         cell membrane
Science         Parts of a Cell         These store waste         [vacuole, vacuoles]
Science         Systems         This is a set of procedures, methods or rules that are designed to accomplish a desired task         social system
Science         Systems         This is the unintended or undesired outputs of a system         side effect
Science         Systems         This is made up of physical parts working together         physical system
Science         Systems         These are toothed wheels         gears
Science         Systems         This is the resistance to turn         torque
